timestamp,roll,pitch,yaw,timestamp_mag,mag_x,mag_y,mag_z
1.74E+15,-0.523,2.262,-35.589,None,None,None,None
1.74E+15,-0.522,2.264,-35.593,None,None,None,None
1.74E+15,-0.522,2.264,-35.593,None,None,None,None
1.74E+15,-0.521,2.262,-35.601,None,None,None,None
1.74E+15,-0.529,2.251,-35.605,None,None,None,None
1.74E+15,-0.529,2.25,-35.608,None,None,None,None
1.74E+15,-0.531,2.25,-35.61,None,None,None,None
1.74E+15,-0.531,2.25,-35.61,None,None,None,None
1.74E+15,-0.527,2.257,-35.615,None,None,None,None
1.74E+15,-0.525,2.258,-35.617,None,None,None,None
1.74E+15,-0.53,2.249,-35.618,None,None,None,None
1.74E+15,-0.53,2.249,-35.618,1.74E+15,0.102846,0.051098,0.090264
1.74E+15,-0.52,2.267,-35.619,1.74E+15,0.102846,0.051098,0.090264
1.74E+15,-0.526,2.256,-35.623,1.74E+15,0.102895389,0.050721283,0.091242209
1.74E+15,-0.529,2.249,-35.617,1.74E+15,0.102863555,0.051317554,0.090836001
1.74E+15,-0.53,2.254,-35.621,1.74E+15,0.10243638,0.051475058,0.091397009
1.74E+15,-0.52,2.273,-35.624,1.74E+15,0.102779994,0.051395858,0.090890409
1.74E+15,-0.52,2.273,-35.624,1.74E+15,0.102779994,0.051395858,0.090890409
1.74E+15,-0.525,2.264,-35.631,1.74E+15,0.103059824,0.050685817,0.090459685
1.74E+15,-0.529,2.253,-35.634,1.74E+15,0.102649978,0.051190451,0.091318216
1.74E+15,-0.529,2.253,-35.634,1.74E+15,0.102649978,0.051190451,0.091318216
1.74E+15,-0.529,2.255,-35.639,1.74E+15,0.102767453,0.051113666,0.090749772
1.74E+15,-0.528,2.258,-35.641,1.74E+15,0.102724881,0.050958688,0.091096216
1.74E+15,-0.509,2.292,-35.64,1.74E+15,0.102994085,0.051001137,0.090834245
1.74E+15,-0.507,2.296,-35.644,1.74E+15,0.102997696,0.050890104,0.090725136
1.74E+15,-0.515,2.276,-35.644,1.74E+15,0.102841548,0.051222846,0.091006782
1.74E+15,-0.517,2.267,-35.644,1.74E+15,0.102417,0.052102,0.089435
1.74E+15,-0.512,2.273,-35.648,1.74E+15,0.10324306,0.050475508,0.090940188
1.74E+15,-0.511,2.274,-35.65,1.74E+15,0.102544262,0.051603019,0.090789605
1.74E+15,-0.503,2.289,-35.652,1.74E+15,0.102981637,0.050842196,0.090930251
1.74E+15,-0.504,2.285,-35.652,1.74E+15,0.102535,0.051894,0.090049
1.74E+15,-0.506,2.276,-35.654,1.74E+15,0.102197946,0.052008256,0.090572672
1.74E+15,-0.5,2.289,-35.655,1.74E+15,0.103172,0.051023,0.090679
1.74E+15,-0.502,2.286,-35.658,1.74E+15,0.102606075,0.051592166,0.090374708
1.74E+15,-0.505,2.279,-35.662,1.74E+15,0.10333015,0.050124941,0.091524428
1.74E+15,-0.503,2.282,-35.662,1.74E+15,0.102566613,0.051703422,0.090580344
1.74E+15,-0.503,2.282,-35.664,1.74E+15,0.102928582,0.050938895,0.090784791
1.74E+15,-0.5,2.28,-35.667,1.74E+15,0.102790994,0.051257389,0.090656572
1.74E+15,-0.506,2.273,-35.668,1.74E+15,0.102148046,0.052297566,0.090151602
1.74E+15,-0.501,2.282,-35.667,1.74E+15,0.103077443,0.050786915,0.091287315
1.74E+15,-0.502,2.277,-35.671,1.74E+15,0.102785829,0.051111711,0.090622769
1.74E+15,-0.505,2.276,-35.673,1.74E+15,0.103142712,0.050316729,0.091636409
1.74E+15,-0.504,2.276,-35.675,1.74E+15,0.102859722,0.051148451,0.091249175
1.74E+15,-0.504,2.276,-35.675,1.74E+15,0.102908,0.050993,0.090724
1.74E+15,-0.504,2.276,-35.678,1.74E+15,0.102994186,0.050835233,0.091245591
1.74E+15,-0.502,2.281,-35.679,1.74E+15,0.102108,0.052639,0.089425
1.74E+15,-0.507,2.27,-35.679,1.74E+15,0.102859025,0.050913554,0.090838826
1.74E+15,-0.504,2.276,-35.683,1.74E+15,0.102873449,0.050989345,0.091020454
1.74E+15,-0.502,2.281,-35.685,1.74E+15,0.102318504,0.052500094,0.089244781
1.74E+15,-0.508,2.271,-35.686,1.74E+15,0.102837134,0.051258898,0.091079098
1.74E+15,-0.504,2.279,-35.684,1.74E+15,0.10284802,0.051022295,0.090811442
1.74E+15,-0.518,2.258,-35.687,1.74E+15,0.102707,0.051324,0.090921
1.74E+15,-0.518,2.26,-35.689,1.74E+15,0.10239819,0.0520871,0.089411758
